loan_id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,visit_id,zip_code,name,birthday,city,ssn,gender,cid,campaign_referrer
0,0,0,0,0,0,0,,,,,,,,,
75662153,54576896,1551034748,40000,Refinance existing loans,REJECTED,6.7,,51379,Χρυσοβαλάντω Μανοπούλου,1973-10-05,Άρτα,861-68-4022,F,54576896,
87369073,42424577,1556087895,100000,Home purchase,REJECTED,8.7,,ΤΚ 284 87,Ουρανία Βαζούρα,1973-08-27,Άρτα,190-61-1988,M,42424577,
97834528,60165891,1564423843,280000,Refinance existing loans,ACCEPTED,14,,ΤΚ 00544,Προμηθέας Πιτερός,1994-05-24,Άρτα,210-74-4249,F,60165891,
66252229,60165891,1539888608,170000,Refinance existing loans,ACCEPTED,8.7,,ΤΚ 00544,Προμηθέας Πιτερός,1994-05-24,Άρτα,210-74-4249,F,60165891,
73026509,66381063,1568703738,100000,Home purchase,REJECTED,8.7,,718 97,Μιχαήλ Γιαννακουδάκης,1982-06-20,Άρτα,932-26-1049,M,66381063,
12180218,66381063,1543635553,300000,Buying a pet,REJECTED,6.7,,718 97,Μιχαήλ Γιαννακουδάκης,1982-06-20,Άρτα,932-26-1049,M,66381063,
28447023,7288328,1555531585,190000,Home purchase,ACCEPTED,7,26551458,52180,Άριστος Λέλεκας,1976-02-26,Άρτα,423-68-2696,M,7288328,"display1,Google - display1,Twitter - display3,Twitter - display1,Facebook"
71991442,7288328,1555090311,240000,Refinance existing loans,REJECTED,14,5087486,52180,Άριστος Λέλεκας,1976-02-26,Άρτα,423-68-2696,M,7288328,"display1,Google - display3,Twitter - display3,Twitter - display1,Facebook"
36701660,6761737,1531023330,250000,Refinance existing loans,REJECTED,6.7,,ΤΚ 788 26,Ιάσονας Βασιλείου,1988-04-07,Άρτα,579-29-7611,M,6761737,
24399707,6761737,1510465055,20000,Refinance existing loans,ACCEPTED,8.7,10367174,ΤΚ 788 26,Ιάσονας Βασιλείου,1988-04-07,Άρτα,579-29-7611,M,6761737,"display2,Twitter - display3,Twitter - display3,Twitter - display2,Facebook"
22709846,69750283,1536787059,270000,Refinance existing loans,ACCEPTED,6.7,,79638,Στέργιος Κορομήλας,1975-01-23,Άρτα,192-90-5229,M,69750283,
96839808,69750283,1567437709,210000,Buying a pet,ACCEPTED,6.7,,79638,Στέργιος Κορομήλας,1975-01-23,Άρτα,192-90-5229,M,69750283,
87107458,71333387,1563002115,250000,Buying a pet,REJECTED,14,,ΤΚ 91077,Νέαρχος Αθανασάκης,1974-07-12,Άρτα,340-28-2135,M,71333387,
66733438,60320527,1563978306,290000,buying a pet,REJECTED,14,,543 97,Βαρδής Τσιατής,1976-09-13,Άρτα,940-74-0358,M,60320527,
52929024,60320527,1549205668,20000,Buying a pet,ACCEPTED,8.7,,543 97,Βαρδής Τσιατής,1976-09-13,Άρτα,940-74-0358,M,60320527,
44657666,61765135,1556725641,90000,Home purchase,REJECTED,7,76342934,ΤΚ 894 21,Ιάκωβος Σδραλλής,1976-04-07,Άρτα,837-38-8136,M,61765135,"display2,Google - display2,Facebook"
40428398,37056784,1535373317,40000,buying a pet,REJECTED,8.7,,ΤΚ 23929,Γερακίνα Βαγενά,1985-12-11,Άρτα,649-11-3608,F,37056784,
37319434,85135889,1564037408,20000,Home purchase,REJECTED,14,,10692,Ευδοξία Σίββα,1974-06-11,Άρτα,511-89-4865,M,85135889,
5455399,4431633,1561746103,50000,Home purchase,ACCEPTED,6.7,,41806,Αίας Μαστρογιώργης,1987-12-24,Άρτα,371-51-5237,F,4431633,
9189831,4431633,1519695869,50000,home purchase,REJECTED,8.7,,41806,Αίας Μαστρογιώργης,1987-12-24,Άρτα,371-51-5237,F,4431633,
59890621,85726738,1506875303,220000,Refinance existing loans,ACCEPTED,6.7,,460 57,Θέκλα Ευαγγελάκη,1993-07-15,Άρτα,407-75-2713,F,85726738,
35521417,85726738,1507941610,220000,Refinance existing loans,REJECTED,6.7,6152719,460 57,Θέκλα Ευαγγελάκη,1993-07-15,Άρτα,407-75-2713,F,85726738,"display2,Facebook"
70131228,62842642,1544499689,300000,Home purchase,REJECTED,7,9668112,ΤΚ 472 66,Ασπασία-Ρωξάνη Γρίβα,1980-12-01,Άρτα,166-03-1044,M,62842642,"display2,Google - display1,Twitter - display3,Twitter - display2,Facebook"
36767183,33025298,1520094662,90000,Home purchase,ACCEPTED,6.7,82207748,24840,Ιουλιανός Μακρυκώστας,1990-01-03,Άρτα,182-07-2008,F,33025298,"display1,Google - display3,Google - display3,Google - display2,Twitter"
86430355,33025298,1542239921,120000,Buying a pet,REJECTED,6.7,,24840,Ιουλιανός Μακρυκώστας,1990-01-03,Άρτα,182-07-2008,F,33025298,
53183775,15876371,1529046865,190000,home purchase,REJECTED,7,,210 80,Αριστοτέλης Πυλαρινός,1979-10-24,Άρτα,848-34-0388,M,15876371,
55043556,15876371,1525201901,90000,Refinance existing loans,REJECTED,14,,210 80,Αριστοτέλης Πυλαρινός,1979-10-24,Άρτα,848-34-0388,M,15876371,
87736090,13681683,1568510294,250000,Home purchase,REJECTED,7,,109 66,Πολυνίκη Καράμπη,1989-01-31,Άρτα,117-29-3768,M,13681683,
