,id_x,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,campaign_referrer,name,ssn,birthday,gender,city,zip_code
0,9546870,33593540,1509162149,80000,Buying a pet,ACCEPTED,8.7,,,Δράκων-Δαμιανός Μητρίδης,826-19-7609,1983-05-06,M,Λαμία,37988
1,36469880,41352735,1508888134,270000,Refinance existing loans,REJECTED,6.7,72572646,"display2_Google,",Κομνηνή Βρακά,388-36-2125,1984-10-13,F,Σπάρτη,445 32
2,22554526,70055796,1507064389,240000,Home purchase,ACCEPTED,7.0,54404642,"display3_Twitter,",Ελπίς-Λυδία Παυλίδου,506-77-6759,1984-07-14,F,Λιβαδιά,717 45
3,27906548,17577009,1508660627,190000,Buying a pet,REJECTED,14.0,,,Αλκμήνη Ματεντσίδου,053-49-2562,1973-02-25,F,Καβάλα,ΤΚ 87994
4,46601919,15988868,1508586823,20000,Home purchase,REJECTED,14.0,,,Ροδαμάνθη Βαλσαμίδου,290-09-9322,1983-11-06,M,Γρεβενά,ΤΚ 377 48
5,41957289,46805538,1508273362,300000,Refinance existing loans,REJECTED,7.0,,,Μελέτιος-Αύγουστος Μηλιώρης,094-52-0699,1990-05-09,M,Λαμία,ΤΚ 933 20
6,99355109,76460475,1508359972,260000,Refinance existing loans,REJECTED,8.7,,,Νικηφόρος Δραζιώτης,723-09-3833,1972-03-03,F,Κέρκυρα,05247
7,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,"display3_Google,display3_Twitter,display1_Google,display1_Facebook,",Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202
8,36909730,85885340,1507181154,190000,Refinance existing loans,REJECTED,14.0,,,Φώτιος Κωστάκης,730-03-0522,1996-04-12,M,Καβάλα,89403
9,74013266,78078336,1508715183,250000,Home purchase,ACCEPTED,7.0,,,Άλκηστις Παπανάνου,371-69-2776,1986-10-07,F,Ιωάννινα,ΤΚ 55082
10,32981943,14991753,1508750262,70000,Refinance existing loans,ACCEPTED,7.0,,,Βελισσαρία Μητσοπούλου,625-06-6786,1988-05-06,M,Σέρρες,ΤΚ 05675
11,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,"display3_Twitter,display2_Facebook,display1_Google,display1_Google,display2_Google,",Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44
12,99597835,64596394,1508565730,190000,Refinance existing loans,REJECTED,8.7,33871022,,Καλλίνικη Σκαφτούρου,553-31-3202,1995-03-16,M,Κοζάνη,ΤΚ 09350
13,91643622,60981988,1507463843,100000,Buying a pet,REJECTED,6.7,,,Αγνή Συρμού,695-92-7841,1976-05-05,M,Βόλος,ΤΚ 750 60
14,92937580,16251586,1507008414,170000,Home purchase,REJECTED,8.7,,,Αθηνά Γιαννακουδάκη,832-32-2906,1996-08-26,F,Καλαμάτα,ΤΚ 304 40
15,5066711,26085422,1508278683,80000,home purchase,REJECTED,7.0,,,Ξανθή Πρέκα,052-06-8369,1988-06-03,M,Κατερίνη,623 87
16,42491716,74590388,1508861243,30000,Buying a pet,REJECTED,7.0,,,Ανδρέας Τσότρας,465-22-4285,1978-04-23,F,Θεσσαλονίκη,ΤΚ 00165
17,8704094,93316544,1508939774,260000,Home purchase,ACCEPTED,6.7,,,Βικτωρία Τζιωρτζή,432-12-4188,1993-12-31,F,Χαλκίδα,ΤΚ 902 04
18,84731523,9709421,1507429960,240000,Buying a pet,ACCEPTED,6.7,,,Βαρσαμία Ζαχαριουδάκη,893-96-3645,1982-04-27,F,Χανιά,398 74
19,1351012,80854090,1509191044,20000,Home purchase,ACCEPTED,6.7,,,Λάμπρος Ράπτης,111-24-9135,1973-11-04,M,Λιβαδιά,ΤΚ 804 78
20,3754733,40173209,1508869563,280000,Refinance existing loans,REJECTED,8.7,13510410,,Τρύφων Σπάλας,126-75-6850,1989-12-27,M,Τρίκαλα,29435
21,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,74932331,"display1_Facebook,display3_Twitter,display2_Google,display3_Twitter,",Ζηνοβία Κολτσάκη,388-76-7551,1992-12-30,F,Ζάκυνθος,ΤΚ 46789
22,41785655,58998405,1508726102,150000,Home purchase,REJECTED,8.7,,,Θωμαίς Μαρκαντωνάκη,400-06-2318,1990-12-30,M,Αγ. Νικόλαος,33936
